airbnb_id,zipcode,latitude,longitude,city,state,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,host_location,host_neighbourhood,market,smart_location,jurisdiction_names,country_code,country
7761475,60614,41.925959669310195,-87.63762756603228,Chicago,IL,"North Commonwealth Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
4668682,60614,41.91823989832592,-87.63580206216292,Chicago,IL,"North Lincoln Park West, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
5648923,60614,41.92703000944469,-87.64591013942513,Chicago,IL,"North Orchard Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
2093531,60614,41.925676623031684,-87.64162437939622,Chicago,IL,"West Fullerton Parkway, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6730197,60614,41.925560566211765,-87.65064051323127,Chicago,IL,"N Lincoln Ave, Chicago, IL 60614, United States",NA,Lincoln Park,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
1831305,60614,41.92612918121697,-87.64567928001009,Chicago,IL,"North Orchard Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
4092283,60614,41.91836437376599,-87.63743455159012,Chicago,IL,"North Lincoln Park West, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
1831268,60614,41.926277979494586,-87.64541680258328,Chicago,IL,"North Orchard Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
2809230,60614,41.91762027174057,-87.6476750942566,Chicago,IL,"North Halsted Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
8368466,60651,41.93265846470501,-87.64106881581216,Chicago,IL,"North Pine Avenue, Chicago, IL 60651, United States",NA,Lincoln Park,NA,US,NA,Chicago,"Chicago, IL",CHICAGO,US,United States
1502700,60614,41.91405968010776,-87.63934358946477,Chicago,IL,"West Eugenie Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
1502674,60614,41.91306780223341,-87.64012371228682,Chicago,IL,"West Eugenie Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
5631217,60614,41.919679896112136,-87.63922856779149,Chicago,IL,"North Orleans Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Boulogne-Billancourt, Île-de-France, France",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
12140,60614,41.92336907828228,-87.64938765740992,Chicago,IL,"N Halsted St, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
5795687,60614,41.9228839776076,-87.64073244917708,Chicago,IL,"W Belden Ave, Chicago, IL 60614, United States",NA,Lincoln Park,NA,"Chicago, Illinois, United States",Streeterville,Chicago,"Chicago, IL",CHICAGO,US,United States
585510,60614,41.91816659649191,-87.6412302005079,Chicago,IL,"North Hudson Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7581437,60614,41.928153885865015,-87.65772168335776,Chicago,IL,"North Racine Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
5681790,60614,41.91926184698743,-87.65052100721964,Chicago,IL,"North Fremont Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
3534562,60614,41.92715940709959,-87.65787506596969,Chicago,IL,"North Racine Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"San Francisco, California, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
5795501,60614,41.927452545396605,-87.64696763514156,Chicago,IL,"North Orchard Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
7931832,60614,41.919145775954824,-87.64940887434526,Chicago,IL,"North Halsted Street, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
44020,60614,41.92673030057498,-87.65730729203216,Chicago,IL,"N Seminary Ave, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7482330,60614,41.922075820303554,-87.65523340276567,Chicago,IL,"North Seminary Avenue, Chicago, IL 60614, United States",NA,Lincoln Park,NA,US,NA,Chicago,"Chicago, IL",CHICAGO,US,United States
