airbnb_id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,calendar_updated_days
4517010,416731,2011-03-01,NA,NA,NA,FALSE,1,1,TRUE,FALSE,TRUE,apartment,private_room,1,1,1,1,bed,NA,50,NA,NA,NA,NA,1,0,7,21,TRUE,0,0,30,305,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,strict,FALSE,FALSE,1,NA,330
7494841,21941438,2014-09-29,720,1,0.67,FALSE,1,1,TRUE,TRUE,TRUE,condominium,entire_place,4,1,1,2,bed,NA,169,875,NA,NA,20,1,0,1,1125,TRUE,19,49,79,97,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,3
8300871,43765562,2015-09-09,60,1,1,FALSE,2,2,TRUE,FALSE,FALSE,apartment,shared_room,1,1,1,2,bed,NA,35,200,NA,NA,5,1,20,1,1125,TRUE,30,60,90,365,2015-10-03,1,2015-09-21,2015-09-21,80,10,10,10,10,8,6,TRUE,NA,TRUE,flexible,FALSE,FALSE,2,1,24
8234710,39872533,2015-07-28,60,1,1,FALSE,1,1,TRUE,TRUE,FALSE,apartment,private_room,2,1,1,1,bed,NA,40,NA,NA,NA,NA,1,10,1,1125,TRUE,7,7,7,280,2015-10-03,5,2015-09-14,2015-09-27,92,9,10,10,9,9,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,5,0
7661725,194361,2010-08-07,720,0.92,1,FALSE,1,1,TRUE,FALSE,TRUE,house,private_room,2,1,1,1,bed,NA,59,375,1100,NA,NA,1,0,1,1125,TRUE,18,48,78,353,2015-10-03,6,2015-08-17,2015-09-27,97,10,9,10,10,9,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,3.75,21
6072271,30804099,2015-04-07,NA,NA,NA,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,70,470,NA,NA,NA,1,0,1,1125,TRUE,0,0,0,141,2015-10-03,1,2015-05-04,2015-05-04,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.2,90
7400101,38772513,2015-07-17,60,0.9,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,3,1,0,1,bed,NA,135,NA,NA,NA,20,2,20,1,1125,TRUE,0,0,0,275,2015-10-03,5,2015-07-27,2015-09-22,92,10,9,10,9,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,2.17,3
7088597,29716517,2015-03-21,60,1,0.67,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,1,1,1,1,bed,NA,60,380,NA,NA,25,1,0,1,5,TRUE,0,0,0,184,2015-10-03,1,2015-07-13,2015-07-13,100,10,10,10,10,8,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,0.36,14
6880993,23162368,2014-10-30,720,1,NA,FALSE,1,1,TRUE,TRUE,TRUE,apartment,shared_room,2,1,1,1,sofa_bed,NA,65,350,950,150,NA,2,10,1,7,TRUE,30,60,89,89,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,1
4217695,21889852,2014-09-28,60,1,1,FALSE,1,1,TRUE,TRUE,FALSE,apartment,entire_place,6,1,1,2,bed,NA,90,500,1600,NA,NA,2,10,1,10,TRUE,8,22,36,120,2015-10-03,55,2014-10-25,2015-09-29,93,10,9,10,10,9,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,4.8,14
